"TAG","TEXT"
"li","Webmail"
"a","Webmail"
"li","Jobs"
"a","Jobs"
"li","Tenders"
"a","Tenders"
"li","Office Orders"
"a","Office Orders"
"li","NIRF"
"a","NIRF"
"li","RTI"
"a","RTI"
"li","Placements"
"a","Placements"
"li","Contact Us"
"a","Contact Us"
"li","Search"
"form","Search"
"label","Search"
"ul","Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment"
"li","Home"
"a","Home"
"li","Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"a","Institute"
"ul","History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"li","History"
"a","History"
"li","Vision & Mission"
"a","Vision & Mission"
"li","Campus"
"a","Campus"
"li","Location"
"a","Location"
"li","News and Events"
"a","News and Events"
"li","Tenders & Quotations"
"a","Tenders & Quotations"
"li","Balance Sheets"
"a","Balance Sheets"
"li","Rules, Guidelines & Forms"
"a","Rules, Guidelines & Forms"
"li","Faculty Affairs"
"a","Faculty Affairs"
"li","IQAC Reports"
"a","IQAC Reports"
"li","Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"a","Administration"
"ul","Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"li","Board Of Governors"
"a","Board Of Governors"
"li","Chairman, Board of Governors"
"a","Chairman, Board of Governors"
"li","Director"
"a","Director"
"li","Senate Members"
"a","Senate Members"
"li","Building & Works Committee"
"a","Building & Works Committee"
"li","Finance Committee"
"a","Finance Committee"
"li","Grievance Redressal Committee"
"a","Grievance Redressal Committee"
"li","Institute Functionaries"
"a","Institute Functionaries"
"li","Minutes of Meetings"
"a","Minutes of Meetings"
"li","Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"a","Programmes"
"ul","Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"li","Undergraduate"
"a","Undergraduate"
"li","Postgraduate"
"a","Postgraduate"
"li","Doctorate"
"a","Doctorate"
"li","Academic Support for Students"
"a","Academic Support for Students"
"li","Accreditation"
"a","Accreditation"
"li","Scholarships"
"a","Scholarships"
"li","IQAC Reports"
"a","IQAC Reports"
"li","E-Academic Portal"
"a","E-Academic Portal"
"li","Admissions"
"a","Admissions"
"li","Academic Units Departments Centres"
"a","Academic Units"
"ul","Departments Centres"
"li","Departments"
"a","Departments"
"li","Centres"
"a","Centres"
"li","Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"a","Research"
"ul","Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"li","Overview"
"a","Overview"
"li","Research Groups"
"a","Research Groups"
"li","Sponsored Research"
"a","Sponsored Research"
"li","In-House Projects"
"a","In-House Projects"
"li","Consultancy"
"a","Consultancy"
"li","Courses and Conferences"
"a","Courses and Conferences"
"li","Young Research Fellows Programme"
"a","Young Research Fellows Programme"
"li","Norms and Forms"
"a","Norms and Forms"
"li","Contacts"
"a","Contacts"
"li","Campus Life Students Facilities Online Fee Payment"
"a","Campus Life"
"ul","Students Facilities Online Fee Payment"
"li","Students"
"a","Students"
"li","Facilities"
"a","Facilities"
"li","Online Fee Payment"
"a","Online Fee Payment"
"section","Punjab Engineering College (Deemed to be University), Chandigarh MoU signed between PEC and Bansal EnviroTech MoU signed between PEC and KISCO India Private Limited (KIPL) Homecoming 2020: First Annual Alumni Meet Siemens Center of Excellence Inaugurated at PEC Ban on Single Use Plastic/ Thermocol Items in Chandigarh Distinguished Alumnus Award Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. Top Stories Oldest Alum at Homecoming: 2020 PEC welcomed Mr. Bikram Singh Garewal, the university�s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life. MOU Between PEC and PEDA A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India. 98th Foundation Day PEC has completed 98 wonderful years since it�s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi. Explore AdmissionsGeneral InformationB.Tech. AdmissionsM.Tech. AdmissionsPh.D Admissions AlumniAlumni PortalGiving BackConnectAlumni Registration Central LibraryCentral LibrarySectionsMembership FacilitiesMultimedia Resource CentreResourcesInternal Services TEQIP IIITEQIP-IIIKey ActivitiesHappeningsDownloadsMedia CoverageTEQIP II Archive PlacementsAbout the CentreDirector's MessageHead's MessageWhy @ PEC?Past RecruitersContact Us NoticesTendersE-NoticesJobs Announcements One week STC on Micro Manufacturing from 4th to 8th January, 2021 Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 Manual to Access pec.edu.in Email ID As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely. Contribute to Covid Emergency Funds Important Links Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. Description, Purpose and Guidelines of the Voyager Program Headlines Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications Webinar on ANSYS High Frequency Application in 5G Antenna Two Days Workshop on Advanced Functional Materials (WAFM-2020) Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020) All Events Connect"
"h3","Punjab Engineering College (Deemed to be University), Chandigarh"
"span","Punjab Engineering College (Deemed to be University), Chandigarh"
"a","MoU signed between PEC and Bansal EnviroTech"
"a","MoU signed between PEC and KISCO India Private Limited (KIPL)"
"a","Homecoming 2020: First Annual Alumni Meet"
"a","Siemens Center of Excellence Inaugurated at PEC"
"a","Ban on Single Use Plastic/ Thermocol Items in Chandigarh"
"h3","Distinguished Alumnus Award"
"span","Distinguished Alumnus Award"
"p","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"marquee","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"span","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"a","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"span","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"h3","Top Stories"
"span","Top Stories"
"h5","Oldest Alum at Homecoming: 2020"
"a","Oldest Alum at Homecoming: 2020"
"p","PEC welcomed Mr. Bikram Singh Garewal, the university�s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"h5","MOU Between PEC and PEDA"
"a","MOU Between PEC and PEDA"
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"h5","98th Foundation Day"
"a","98th Foundation Day"
"p","PEC has completed 98 wonderful years since it�s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"h3","Explore"
"span","Explore"
"section","AdmissionsGeneral InformationB.Tech. AdmissionsM.Tech. AdmissionsPh.D Admissions"
"select","AdmissionsGeneral InformationB.Tech. AdmissionsM.Tech. AdmissionsPh.D Admissions"
"option","Admissions"
"option","General Information"
"option","B.Tech. Admissions"
"option","M.Tech. Admissions"
"option","Ph.D Admissions"
"section","AlumniAlumni PortalGiving BackConnectAlumni Registration"
"select","AlumniAlumni PortalGiving BackConnectAlumni Registration"
"option","Alumni"
"option","Alumni Portal"
"option","Giving Back"
"option","Connect"
"option","Alumni Registration"
"section","Central LibraryCentral LibrarySectionsMembership FacilitiesMultimedia Resource CentreResourcesInternal Services"
"select","Central LibraryCentral LibrarySectionsMembership FacilitiesMultimedia Resource CentreResourcesInternal Services"
"option","Central Library"
"option","Central Library"
"option","Sections"
"option","Membership Facilities"
"option","Multimedia Resource Centre"
"option","Resources"
"option","Internal Services"
"section","TEQIP IIITEQIP-IIIKey ActivitiesHappeningsDownloadsMedia CoverageTEQIP II Archive"
"select","TEQIP IIITEQIP-IIIKey ActivitiesHappeningsDownloadsMedia CoverageTEQIP II Archive"
"option","TEQIP III"
"option","TEQIP-III"
"option","Key Activities"
"option","Happenings"
"option","Downloads"
"option","Media Coverage"
"option","TEQIP II Archive"
"section","PlacementsAbout the CentreDirector's MessageHead's MessageWhy @ PEC?Past RecruitersContact Us"
"select","PlacementsAbout the CentreDirector's MessageHead's MessageWhy @ PEC?Past RecruitersContact Us"
"option","Placements"
"option","About the Centre"
"option","Director's Message"
"option","Head's Message"
"option","Why @ PEC?"
"option","Past Recruiters"
"option","Contact Us"
"section","NoticesTendersE-NoticesJobs"
"select","NoticesTendersE-NoticesJobs"
"option","Notices"
"option","Tenders"
"option","E-Notices"
"option","Jobs"
"h3","Announcements"
"span","Announcements"
"a","One week STC on Micro Manufacturing from 4th to 8th January, 2021"
"p","One week STC on Micro Manufacturing from 4th to 8th January, 2021"
"a","Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19"
"p","Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19"
"a","Manual to Access pec.edu.in Email ID"
"p","Manual to Access pec.edu.in Email ID"
"a","As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely."
"p","As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely."
"a","Contribute to Covid Emergency Funds"
"h3","Important Links"
"span","Important Links"
"ul","Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. Description, Purpose and Guidelines of the Voyager Program"
"li","Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years."
"a","Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years."
"li","Description, Purpose and Guidelines of the Voyager Program"
"a","Description, Purpose and Guidelines of the Voyager Program"
"h3","Headlines"
"span","Headlines"
"ul","Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications Webinar on ANSYS High Frequency Application in 5G Antenna Two Days Workshop on Advanced Functional Materials (WAFM-2020) Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)"
"li","Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award"
"span","Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award"
"a","Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award"
"li","Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications"
"span","Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications"
"a","Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications"
"li","Webinar on ANSYS High Frequency Application in 5G Antenna"
"span","Webinar on ANSYS High Frequency Application in 5G Antenna"
"a","Webinar on ANSYS High Frequency Application in 5G Antenna"
"li","Two Days Workshop on Advanced Functional Materials (WAFM-2020)"
"span","Two Days Workshop on Advanced Functional Materials (WAFM-2020)"
"a","Two Days Workshop on Advanced Functional Materials (WAFM-2020)"
"li","Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)"
"span","Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)"
"a","Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)"
"a","All Events"
"h3","Connect"
"span","Connect"
"section","Recent Research Activities India 2020 Top Cited Paper Award Dr. Sanjeev Kumar, Applied Science Department has received the India 2020 Top Cited Paper Award for article �Sr and Mn co-doped sol-gel derived BiFeO3 ceramics with enhanced magnetism and reduced leakage current� Nandni Sharma et al 2017 Mater. Res. Express 4 015702. The Top Cited Paper Award is for corresponding authors from India, for work published across the entire IOP Publishing portfolio. Web Development & Programming the IoT Workshop The Computer Centre, Punjab Engineering College (Deemed to be University), Chandigarh in association with Chandigarh Sub Section of IEEE is organized a Six Weeks Workshop on Web Development & Introduction to Programming the Internet of Things (IoT). The workshop comprised of theoretical and practical sessions on daily basis. Expert Lectures were also conducted during the workshop. Space Flight: Challenges & Opportunities National Seminar A National Seminar on �Space Flight: Challenges and Opportunities� was held at the Punjab Engineering College (Deemed to be University), Chandigarh. Notably, the seminar was conducted to commemorate the 16th death anniversary of Dr. Kalpana Chawla, the star alumni of Aerospace Engineering Department of PEC, who disappeared in the sky during Columbia Disaster on 1st February 2003."
"h3","Recent Research Activities"
"span","Recent Research Activities"
"span","India 2020 Top Cited Paper Award"
"a","India 2020 Top Cited Paper"
"b","India 2020 Top Cited Paper"
"b","Award"
"span","Web Development & Programming the IoT Workshop"
"a","Web Development & Programming the IoT"
"b","Web Development & Programming the IoT"
"b","Workshop"
"span","Space Flight: Challenges & Opportunities National Seminar"
"a","Space Flight: Challenges & Opportunities"
"b","Space Flight: Challenges & Opportunities"
"b","National Seminar"
